epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,50476.6,1.17264,1.13868,1.18152,0.70268,0.52098,0.58699,0.4138,1.10183,0.92854,1.1276,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,51404.9,1.17364,1.13795,1.18041,0.70231,0.5189,0.58737,0.41364,1.10083,0.92769,1.12634,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,52334,1.17215,1.13298,1.18008,0.68838,0.5234,0.58843,0.4145,1.1001,0.92661,1.12557,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,53262.8,1.17053,1.13014,1.17963,0.68615,0.525,0.58884,0.41579,1.09916,0.92496,1.12488,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,54192.2,1.17266,1.13043,1.17932,0.71423,0.51772,0.59007,0.41701,1.09875,0.92362,1.1242,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,55121,1.16878,1.12342,1.17628,0.70372,0.52005,0.59084,0.41681,1.09884,0.92257,1.12394,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,56049.7,1.16566,1.12139,1.17569,0.69753,0.52343,0.59146,0.41659,1.09692,0.92105,1.12214,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,56977.4,1.16535,1.12096,1.1751,0.69852,0.52209,0.59135,0.41716,1.09591,0.91971,1.12102,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,57905.5,1.16172,1.11927,1.17191,0.68207,0.52848,0.591,0.41832,1.09544,0.91918,1.12039,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,58918.8,1.15884,1.11396,1.17221,0.70544,0.52212,0.59157,0.41919,1.0946,0.91847,1.11985,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
